MOTS_ID  |MOTS_LUXEMBURGISCH  |MOTS_LUXEMBURGISCH_WSC  |MOTS_FRENCH  |MOTS_FRENCH_WSC  |MOTS_GERMAN  |MOTS_GERMAN_WSC  |MOTS_ENGLISH  |MOTS_ENGLISH_WSC  |MOTS_SPAIN  |MOTS_SPAIN_WSC  |MOTS_ITALIAN  |MOTS_ITALIAN_WSC  |MOTS_PORTUGUESE  |MOTS_PORTUGUESE_WSC  |INFINITIF_INDEX1  |INFINITIF_INDEX2  
63|accouchéieren=e Kand kréien, si accouchéiert|accoucheieren=e kand kreien, si accoucheiert|accoucher|accoucher|niederkommen, gebären|niederkommen, gebaren|to give birth|to give birth|dar a luz|dar a luz|dare alla luce, partorire|dare alla luce, partorire|dar à luz|dar a luz|accouchéieren|null
55|Accès=Zougank, Accèsen|acces=zougank, accesen|accès|acces|Zugang|zugang|access|access|acceso|acceso|accesso|accesso|acesso|acesso|null|null
56|accessibel=zougänglech|accessibel=zouganglech|accessible|accessible|zugänglich|zuganglich|accessible|accessible|accesible|accesible|accessibile|accessibile|acessível|acessivel|null|null
57|Accessoiren=Ëmgeréits|accessoiren=emgereits|les à­côtés, accessoires|les a­cotes, accessoires|Zubehör|zubehor|accessories|accessories|accesorios|accesorios|accessori|accessori|acessórios|acessorios|null|null
58|Accident=Ongléck=Onfall, Accidenter|accident=ongleck=onfall, accidenter|accident|accident|Unfall|unfall|accident|accident|accidente|accidente|incidente|incidente|acidente, incidente|acidente, incidente|null|null
59|Accidentéierten=Verongléckten, Accidentéiert|accidenteierten=verongleckten, accidenteiert|accidenté, victime|accidente, victime|Verunglückte|verungluckte|injured person|injured person|accidentado|accidentado|sinistrato, vittima|sinistrato, vittima|acidentado|acidentado|null|null
60|accord, d’accord=averstanen=sech eens sinn|accord, d’accord=averstanen=sech eens sinn|d’accord|d’accord|einverstanden|einverstanden|O. K. , all right|o. k. , all right|vale, de acuerdo|vale, de acuerdo|d’accordo|d’accordo|de acordo|de acordo|null|null
61|Accord=Awëllegung=Zouso=Zoustëmmung, Accorden|accord=awellegung=zouso=zoustemmung, accorden|consentement|consentement|Zustimmung, Einwilligung|zustimmung, einwilligung|approval|approval|consentimiento|consentimiento|consenso|consenso|consentimento|consentimento|null|null
62|accordéieren=bewëllegen=zougestoen, en accordéiert|accordeieren=bewellegen=zougestoen, en accordeiert|accorder, allouer|accorder, allouer|bewilligen, zugestehen|bewilligen, zugestehen|to grant, to allocate|to grant, to allocate|conceder|conceder|concedere, acconsentire|concedere, acconsentire|conceder|conceder|accordéieren|null
73|adaptéieren=upassen=ajustéieren, en adaptéiert|adapteieren=upassen=ajusteieren, en adapteiert|adapter, ajuster|adapter, ajuster|anpassen|anpassen|to fit, to adapt|to fit, to adapt|ajustar|ajustar|adattare|adattare|adaptar, ajustar|adaptar, ajustar|adaptéieren|null
64|Accouchement=Gebuert, Accouchementer|accouchement=gebuert, accouchementer|accouchement, naissance|accouchement, naissance|Entbindung|entbindung|delivery, birth|delivery, birth|parto|parto|parto|parto|parto|parto|null|null
65|Accroc=Tëschefall, Accrocen|accroc=teschefall, accrocen|accroc, obstacle|accroc, obstacle|Hindernis|hindernis|obstacle|obstacle|obstáculo|obstaculo|ostacolo|ostacolo|obstáculo|obstaculo|null|null
66|Achs, Achsen|achs, achsen|axe|axe|Achse|achse|axis|axis|eje|eje|asse|asse|eixo|eixo|null|null
67|Achterbunn, Achterbunnen|achterbunn, achterbunnen|montagnes russes|montagnes russes|Achterbahn|achterbahn|big dipper|big dipper|montaña rusa|montaña rusa|montagne russe|montagne russe|montanha russa|montanha russa|null|null
5052|ob|ob|si|si|ob|ob|if|if|si|si|se|se|se|se|null|null
68|achtzeg=uechtzeg|achtzeg=uechtzeg|quatre­vingts|quatre­vingts|achtzig|achtzig|eighty|eighty|ochenta|ochenta|ottanta|ottanta|oitenta|oitenta|null|null
69|Acteur=Schauspiller, Acteuren|acteur=schauspiller, acteuren|acteur|acteur|Schauspieler|schauspieler|actor|actor|actor|actor|attore|attore|actor|actor|null|null
70|Actrice=Schauspillerin, Actricen|actrice=schauspillerin, actricen|actrice|actrice|Schauspielerin|schauspielerin|actress|actress|actriz|actriz|attrice|attrice|actriz|actriz|null|null
71|Adaptatioun=Upassung, Adptatiounen|adaptatioun=upassung, adptatiounen|adaptation|adaptation|Anpassung|anpassung|adaptation|adaptation|adaptación|adaptacion|adattamento|adattamento|adaptação|adaptação|null|null
79|adoptéieren, en adoptéiert|adopteieren, en adopteiert|adopter|adopter|adoptieren|adoptieren|to adopt|to adopt|adoptar|adoptar|adottare|adottare|adoptar|adoptar|adoptéieren|null
72|adaptéieren(sech)=s. upassen=s. drugewinnen, en adaptéiert sech|adapteieren(sech)=s. upassen=s. drugewinnen, en adapteiert sech|s'adapter|s'adapter|sich anpassen|sich anpassen|to adapt|to adapt|adaptarse|adaptarse|adattarsi|adattarsi|adaptar­se|adaptar­se|adaptéieren (sech)|null
74|Äddi!=Awar!=Awuer!|addi!=awar!=awuer!|salut!, adieu!, au revoir!|salut!, adieu!, au revoir!|tschüs!, ade!, auf Wiedersehen!|tschus!, ade!, auf wiedersehen!|bye­bye!, goodbye!|bye­bye!, goodbye!|adiós!, hasta luego!, hasta la vista!|adios!, hasta luego!, hasta la vista!|ciao!, arrivederci!|ciao!, arrivederci!|adeus!|adeus!|null|null
75|adequat=richteg=passend|adequat=richteg=passend|vrai, bien, adéquat|vrai, bien, adequat|richtig|richtig|real, right|real, right|verdadero, cierto|verdadero, cierto|vero, giusto|vero, giusto|verdadeiro, certo|verdadeiro, certo|null|null
76|Adjektiv, Adjektiven|adjektiv, adjektiven|adjectif|adjectif|Eigenschaftswort|eigenschaftswort|adjective|adjective|adjetivo|adjetivo|aggettivo|aggettivo|adjectivo|adjectivo|null|null
77|Adjoint=Stellvertrieder, Adjointen|adjoint=stellvertrieder, adjointen|adjoint|adjoint|Stellvertreter, Gehilfe|stellvertreter, gehilfe|deputy|deputy|sustituto|sustituto|assessore|assessore|adjunto|adjunto|null|null
78|Adler, Adler|adler, adler|aigle|aigle|Adler|adler|eagle|eagle|águila|aguila|aquila|aquila|águia|aguia|null|null
115|agoen, e geet an|agoen, e geet an|entrer|entrer|eintreten|eintreten|to enter|to enter|entrar|entrar|entrare|entrare|entrar|entrar|agoen|null
80|Adress, Adressen|adress, adressen|adresse|adresse|Adresse|adresse|address|address|dirección|direccion|indirizzo|indirizzo|endereço, direcção|endereço, direcção|null|null
81|adresséieren=schécken un, en adresséiert|adresseieren=schecken un, en adresseiert|adresser, envoyer|adresser, envoyer|adressieren, senden an|adressieren, senden an|to address|to address|dirigir|dirigir|indirizzare|indirizzare|endereçar, dirigir|endereçar, dirigir|adresséieren|null
82|Adverb, Adverben|adverb, adverben|adverbe|adverbe|Umstandswort|umstandswort|adverb|adverb|adverbio|adverbio|avverbio|avverbio|advérbio|adverbio|null|null
83|Aendeckel, Aendeckelen|aendeckel, aendeckelen|paupière|paupiere|Augenlid|augenlid|eyelid|eyelid|párpado|parpado|palpebra|palpebra|pálpebra|palpebra|null|null
84|Aendokter, Aendokteren|aendokter, aendokteren|oculiste|oculiste|Augenarzt|augenarzt|oculist|oculist|oculista|oculista|oculista|oculista|oculista|oculista|null|null
85|Äerd|aerd|terre|terre|Erde|erde|earth|earth|tierra|tierra|terra|terra|terra|terra|null|null
86|Äerdbier, Äerdbier|aerdbier, aerdbier|fraise|fraise|Erdbeere|erdbeere|strawberry|strawberry|fresa|fresa|fragola|fragola|morango|morango|null|null
87|Äerdbiewen, Äerdbiewen|aerdbiewen, aerdbiewen|séisme|seisme|Erdbeben|erdbeben|earthquake|earthquake|terremoto|terremoto|terremoto|terremoto|terramoto|terramoto|null|null
88|äerdeg=äifreg=aktiv=fläisseg|aerdeg=aifreg=aktiv=flaisseg|actif, zélé|actif, zele|emsig, fleißig|emsig, fleißig|busy, active|busy, active|ocupado|ocupado|diligente, vivo|diligente, vivo|diligente|diligente|null|null
89|Äert, äert|aert, aert|votre|votre|Ihr, euer|ihr, euer|your|your|vuestro|vuestro|Suo, vostro|suo, vostro|seu, vosso|seu, vosso|null|null
90|Äerz, Äerzer|aerz, aerzer|minerai|minerai|Erz|erz|ore|ore|mineral|mineral|minerale|minerale|minério|minerio|null|null
91|Af, Afen|af, afen|singe|singe|Affe|affe|monkey|monkey|mono|mono|scimmia|scimmia|macaco|macaco|null|null
92|afen=maulafen=virwëtzen=de Virwëtz stëppelen, en aaft|afen=maulafen=virwetzen=de virwetz steppelen, en aaft|regarder par curiosité|regarder par curiosite|gaffen|gaffen|to stare|to stare|pormenorizar, mirar|pormenorizar, mirar|curiosare, scrutare qc.|curiosare, scrutare qc.|pormenorizar|pormenorizar|afen|null
93|Afennoss=Kakuett, Afennëss|afennoss=kakuett, afenness|cacahuète|cacahuete|Erdnuss|erdnuss|peanut|peanut|cacahuete|cacahuete|arachide|arachide|amendoim|amendoim|null|null
94|Affär=Ugeleeënheet, Affären|affar=ugeleeenheet, affaren|affaire|affaire|Angelegenheit|angelegenheit|affair, matter|affair, matter|asunto|asunto|affare, caso|affare, caso|assunto|assunto|null|null
95|Affekot, Affekoten|affekot, affekoten|avocat|avocat|Rechtsanwalt|rechtsanwalt|lawyer, advocate|lawyer, advocate|abogado|abogado|avvocato|avvocato|advogado|advogado|null|null
96|affektéiert=jinsseg|affekteiert=jinsseg|précieux|precieux|geziert|geziert|chichi|chichi|estilo culteranismo|estilo culteranismo|lezioso|lezioso|estilo afectado|estilo afectado|null|null
97|Affer|affer|offrande|offrande|Opfergabe|opfergabe|offering|offering|ofrenda|ofrenda|offerta, sacrificio|offerta, sacrificio|oferta, oferenda, dádiva|oferta, oferenda, dadiva|null|null
98|Affer=Victime, Affer|affer=victime, affer|victime|victime|Opfer|opfer|victim|victim|víctima|victima|vittima|vittima|vítima|vitima|null|null
99|afferen, en affert|afferen, en affert|offrir|offrir|spenden|spenden|to offer|to offer|ofrendar|ofrendar|offrire, fare l’elemosina|offrire, fare l’elemosina|oferecer|oferecer|afferen|null
100|Afferstack, Afferstäck|afferstack, afferstack|tronc d’église|tronc d’eglise|Opferstock|opferstock|poor­box|poor­box|cepillo (iglesia)|cepillo (iglesia)|cassetta delle elemosine|cassetta delle elemosine|caixa de esmolas|caixa de esmolas|null|null
101|Affiche=Plakat=Poster, Affichen|affiche=plakat=poster, affichen|affiche|affiche|Anschlagzettel, Plakat|anschlagzettel, plakat|poster|poster|cartel, anuncio|cartel, anuncio|manifesto, locandina|manifesto, locandina|cartaz|cartaz|null|null
102|affichéieren=aushänken, en affichéiert|afficheieren=aushanken, en afficheiert|afficher|afficher|öffentlich aufhängen|offentlich aufhangen|to post up|to post up|anunciar|anunciar|affiggere|affiggere|afixar|afixar|affichéieren|null
103|Affinitéit=Gemeinsamkeet, Affinitéiten|affiniteit=gemeinsamkeet, affiniteiten|affinité|affinite|Ähnlichkeit|ahnlichkeit|affinity|affinity|afinidad|afinidad|affinità|affinita|afinidade|afinidade|null|null
104|affrontéiert=gewot=kéng=onverschimmt=frech|affronteiert=gewot=keng=onverschimmt=frech|hardi, audacieux, téméraire|hardi, audacieux, temeraire|kühn, waghalsig|kuhn, waghalsig|audacious, bold, rash|audacious, bold, rash|atrevido, temerario|atrevido, temerario|temerario, audace|temerario, audace|arrojado, atrevido, temerário|arrojado, atrevido, temerario|null|null
105|Afouer=Import|afouer=import|importation|importation|Import, Einfuhr|import, einfuhr|importation|importation|importación|importacion|importazione|importazione|importação|importação|null|null
106|Agank=Entrée=Hal, Agäng|agank=entree=hal, agang|entrée|entree|Eingang|eingang|entry|entry|entrada|entrada|entrata|entrata|entrada|entrada|null|null
107|agebilt=iwwerhieflech=bretzeg=bretzaarscheg=pësseg=vermengt=pupeg|agebilt=iwwerhieflech=bretzeg=bretzaarscheg=pesseg=vermengt=pupeg|prétentieux, vaniteux|pretentieux, vaniteux|eingebildet, wichtig tun|eingebildet, wichtig tun|conceited, affected|conceited, affected|presumido|presumido|presuntuoso, pretenzioso|presuntuoso, pretenzioso|pretensioso, presumido|pretensioso, presumido|null|null
108|Agebilten=Bretzaarsch=Vermengten, Agebilt|agebilten=bretzaarsch=vermengten, agebilt|prétentieux|pretentieux|eingebildeter Mensch|eingebildeter mensch|prig|prig|presumido|presumido|presuntuoso|presuntuoso|presumido|presumido|null|null
109|Agebuerenen, Agebueren|agebuerenen, agebueren|natif, indigène, autochtone|natif, indigene, autochtone|Eingeborener|eingeborener|native|native|indígeno, nativo|indigeno, nativo|indigeno, nativo|indigeno, nativo|nativo, indígena|nativo, indigena|null|null
110|Agence, Agencen|agence, agencen|agence|agence|Agentur|agentur|agency|agency|agencia|agencia|agenzia|agenzia|agência|agencia|null|null
111|Agenda, Agendaen|agenda, agendaen|agenda|agenda|Taschenkalender, Agenda|taschenkalender, agenda|diary|diary|agenda|agenda|agenda|agenda|agenda|agenda|null|null
112|agestoen=zouginn, e gesteet an|agestoen=zouginn, e gesteet an|avouer, admettre|avouer, admettre|eingestehen, zugeben|eingestehen, zugeben|to admit, to confess|to admit, to confess|reconocer, conceder|reconocer, conceder|ammettere, confessare|ammettere, confessare|admitir, confessar|admitir, confessar|agestoen|null
113|aggresséieren=iwwerfalen=ugräifen=attackéieren, en aggresséiert|aggresseieren=iwwerfalen=ugraifen=attackeieren, en aggresseiert|agresser, attaquer|agresser, attaquer|überfallen, angreifen|uberfallen, angreifen|to attack, to assault|to attack, to assault|agredir|agredir|aggredire, attaccare|aggredire, attaccare|agredir|agredir|aggresséieren|null
114|aggressiv=streidereg=ugrëffeg|aggressiv=streidereg=ugreffeg|belliqueux, agressif|belliqueux, agressif|kriegerisch, streitbar|kriegerisch, streitbar|aggressive, belligerent|aggressive, belligerent|belicoso|belicoso|bellicoso, litigioso|bellicoso, litigioso|belicoso|belicoso|null|null
292|anootmen, en otemt an|anootmen, en otemt an|aspirer|aspirer|einatmen|einatmen|to inhale|to inhale|aspirar|aspirar|aspirare|aspirare|aspirar|aspirar|anootmen|null
116|agoen=schrompen, et geet an|agoen=schrompen, et geet an|rétrécir|retrecir|einlaufen, schrumpfen|einlaufen, schrumpfen|to shrink|to shrink|encogerse, retrecir|encogerse, retrecir|restringere|restringere|encolher|encolher|null|null
117|Agonie, Agonien|agonie, agonien|agonie|agonie|Todeskampf|todeskampf|agony|agony|agonía|agonia|agonia|agonia|agonia|agonia|null|null
118|agreabel=gefälleg|agreabel=gefalleg|agréable, plaisant|agreable, plaisant|angenehm, gefällig|angenehm, gefallig|pleasant, nice|pleasant, nice|agradable|agradable|gradevole, piacevole|gradevole, piacevole|aprazível, agradável|aprazivel, agradavel|null|null
119|ähnlech sinn=gläichen, en ass ähnlech|ahnlech sinn=glaichen, en ass ahnlech|ressembler|ressembler|ähneln, aussehen wie|ahneln, aussehen wie|to look like|to look like|parecerse a|parecerse a|somigliare a|somigliare a|parecer-se|parecer-se|null|null
120|ähnlech=bal d'selwecht|ahnlech=bal d'selwecht|analogue, semblable|analogue, semblable|ähnlich|ahnlich|similar|similar|análogo|analogo|analogo|analogo|análogo|analogo|null|null
121|Ahorn=Maasselter, Ahorn|ahorn=maasselter, ahorn|érable|erable|Ahorn|ahorn|maple|maple|arce|arce|acero|acero|ácer|acer|null|null
